id,name_x,height,weight,hp_x,attack_x,defense_x,s_attack,s_defense,speed_x,type,evo_set,info,name_y,type_1,type_2,total,hp_y,attack_y,defense_y,sp._atk,sp._def,speed_y,generation_x,legendary,type1_x,type2_x,evolution,ability,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name_y,percentage_male,sp_attack,sp_defense,speed,type1_y,type2_y,weight_kg,generation_y,is_legendary,name,type1_base,type2_base,classification_base,height_(m)_base,weight_(kg)_base,abilities_y,generation_base,legendary_status_base,type1_df6,type2_df6,classification_df6,height_(m)_df6,weight_(kg)_df6,abilities_base,generation_df6,legendary_status_df6,type1,type2,classification,height_(m),weight_(kg),abilities_df6,generation,legendary_status
8,wartortle,10,225,59,63,80,65,80,58,{water},3,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",Wartortle,Water,,405.0,59.0,63.0,80.0,65.0,80.0,58.0,1.0,False,Water,,blastoise,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63.0,5120.0,70.0,405.0,45,Turtle Pokémon,80.0,1059860.0,1.0,59.0,Kameilカメール,Wartortle,88.1,65.0,80.0,58.0,water,,22.5,1.0,0.0,Wartortle,Water,,Turtle Pokémon,1.0,22.5,"Torrent, Rain-dish",1.0,No,Water,,Turtle Pokémon,1.0,22.5,"Torrent, Rain-dish",1.0,No,Water,,Turtle Pokémon,1.0,22.5,"Torrent, Rain-dish",1.0,No
9,blastoise,16,855,79,83,100,85,105,78,{water},3,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,Blastoise,Water,,530.0,79.0,83.0,100.0,85.0,105.0,78.0,1.0,False,Water,,,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103.0,5120.0,70.0,630.0,45,Shellfish Pokémon,120.0,1059860.0,1.6,79.0,Kamexカメックス,Blastoise,88.1,135.0,115.0,78.0,water,,85.5,1.0,0.0,Blastoise,Water,,Shellfish Pokémon,1.6,85.5,"Torrent, Rain-dish",1.0,No,Water,,Shellfish Pokémon,1.6,85.5,"Torrent, Rain-dish",1.0,No,Water,,Shellfish Pokémon,1.6,85.5,"Torrent, Rain-dish",1.0,No
9,blastoise,16,855,79,83,100,85,105,78,{water},3,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,BlastoiseMega Blastoise,Water,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,1.0,False,Water,,,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103.0,5120.0,70.0,630.0,45,Shellfish Pokémon,120.0,1059860.0,1.6,79.0,Kamexカメックス,Blastoise,88.1,135.0,115.0,78.0,water,,85.5,1.0,0.0,Blastoise,Water,,Shellfish Pokémon,1.6,85.5,"Torrent, Rain-dish",1.0,No,Water,,Shellfish Pokémon,1.6,85.5,"Torrent, Rain-dish",1.0,No,Water,,Shellfish Pokémon,1.6,85.5,"Torrent, Rain-dish",1.0,No
10,caterpie,3,29,45,30,35,20,20,45,{bug},4,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Caterpie,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,1.0,False,Bug,,metapod,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,3840.0,70.0,195.0,255,Worm Pokémon,35.0,1000000.0,0.3,45.0,Caterpieキャタピー,Caterpie,50.0,20.0,20.0,45.0,bug,,2.9,1.0,0.0,Caterpie,Bug,,Worm Pokémon,0.3,2.9,"Shield-dust, Run-away",1.0,No,Bug,,Worm Pokémon,0.3,2.9,"Shield-dust, Run-away",1.0,No,Bug,,Worm Pokémon,0.3,2.9,"Shield-dust, Run-away",1.0,No
11,metapod,7,99,50,20,55,25,25,30,{bug},4,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",Metapod,Bug,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,1.0,False,Bug,,butterfree,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,3840.0,70.0,205.0,120,Cocoon Pokémon,55.0,1000000.0,0.7,50.0,Transelトランセル,Metapod,50.0,25.0,25.0,30.0,bug,,9.9,1.0,0.0,Metapod,Bug,,Cocoon Pokémon,0.7,9.9,Shed-skin,1.0,No,Bug,,Cocoon Pokémon,0.7,9.9,Shed-skin,1.0,No,Bug,,Cocoon Pokémon,0.7,9.9,Shed-skin,1.0,No
12,butterfree,11,320,60,45,50,90,80,70,"{bug,flying}",4,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",Butterfree,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,1.0,False,Bug,Flying,,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45.0,3840.0,70.0,395.0,45,Butterfly Pokémon,50.0,1000000.0,1.1,60.0,Butterfreeバタフリー,Butterfree,50.0,90.0,80.0,70.0,bug,flying,32.0,1.0,0.0,Butterfree,Bug,Flying,Butterfly Pokémon,1.1,32.0,"Compound-eyes, Tinted-lens",1.0,No,Bug,Flying,Butterfly Pokémon,1.1,32.0,"Compound-eyes, Tinted-lens",1.0,No,Bug,Flying,Butterfly Pokémon,1.1,32.0,"Compound-eyes, Tinted-lens",1.0,No
13,weedle,3,32,40,35,30,20,20,50,"{bug,poison}",5,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",Weedle,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,1.0,False,Bug,Poison,kakuna,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35.0,3840.0,70.0,195.0,255,Hairy Pokémon,30.0,1000000.0,0.3,40.0,Beedleビードル,Weedle,50.0,20.0,20.0,50.0,bug,poison,3.2,1.0,0.0,Weedle,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,"Shield-dust, Run-away",1.0,No,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,"Shield-dust, Run-away",1.0,No,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,"Shield-dust, Run-away",1.0,No
14,kakuna,6,100,45,25,50,25,25,35,"{bug,poison}",5,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",Kakuna,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False,Bug,Poison,beedrill,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25.0,3840.0,70.0,205.0,120,Cocoon Pokémon,50.0,1000000.0,0.6,45.0,Cocoonコクーン,Kakuna,50.0,25.0,25.0,35.0,bug,poison,10.0,1.0,0.0,Kakuna,Bug,Poison,Cocoon Pokémon,0.6,10.0,Shed-skin,1.0,No,Bug,Poison,Cocoon Pokémon,0.6,10.0,Shed-skin,1.0,No,Bug,Poison,Cocoon Pokémon,0.6,10.0,Shed-skin,1.0,No
15,beedrill,10,295,65,90,40,45,80,75,"{bug,poison}",5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Beedrill,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False,Bug,Poison,,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150.0,3840.0,70.0,495.0,45,Poison Bee Pokémon,40.0,1000000.0,1.0,65.0,Spearスピアー,Beedrill,50.0,15.0,80.0,145.0,bug,poison,29.5,1.0,0.0,Beedrill,Bug,Poison,Poison Bee Pokémon,1.0,29.5,"Swarm, Sniper",1.0,No,Bug,Poison,Poison Bee Pokémon,1.0,29.5,"Swarm, Sniper",1.0,No,Bug,Poison,Poison Bee Pokémon,1.0,29.5,"Swarm, Sniper",1.0,No
15,beedrill,10,295,65,90,40,45,80,75,"{bug,poison}",5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,BeedrillMega Beedrill,Bug,Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0,1.0,False,Bug,Poison,,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150.0,3840.0,70.0,495.0,45,Poison Bee Pokémon,40.0,1000000.0,1.0,65.0,Spearスピアー,Beedrill,50.0,15.0,80.0,145.0,bug,poison,29.5,1.0,0.0,Beedrill,Bug,Poison,Poison Bee Pokémon,1.0,29.5,"Swarm, Sniper",1.0,No,Bug,Poison,Poison Bee Pokémon,1.0,29.5,"Swarm, Sniper",1.0,No,Bug,Poison,Poison Bee Pokémon,1.0,29.5,"Swarm, Sniper",1.0,No
16,pidgey,3,18,40,45,40,35,35,56,"{normal,flying}",6,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,Pidgey,Normal,Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0,1.0,False,Normal,Flying,pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45.0,3840.0,70.0,251.0,255,Tiny Bird Pokémon,40.0,1059860.0,0.3,40.0,Poppoポッポ,Pidgey,50.0,35.0,35.0,56.0,normal,flying,1.8,1.0,0.0,Pidgey,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,"Keen-eye, Tangled-feet, Big-pecks",1.0,No
17,pidgeotto,11,300,63,60,55,50,50,71,"{normal,flying}",6,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",Pidgeotto,Normal,Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0,1.0,False,Normal,Flying,pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,349.0,120,Bird Pokémon,55.0,1059860.0,1.1,63.0,Pigeonピジョン,Pidgeotto,50.0,50.0,50.0,71.0,normal,flying,30.0,1.0,0.0,Pidgeotto,Normal,Flying,Bird Pokémon,1.1,30.0,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Bird Pokémon,1.1,30.0,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Bird Pokémon,1.1,30.0,"Keen-eye, Tangled-feet, Big-pecks",1.0,No
18,pidgeot,15,395,83,80,75,70,70,101,"{normal,flying}",6,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",Pidgeot,Normal,Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0,1.0,False,Normal,Flying,,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,3840.0,70.0,579.0,45,Bird Pokémon,80.0,1059860.0,1.5,83.0,Pigeotピジョット,Pidgeot,50.0,135.0,80.0,121.0,normal,flying,39.5,1.0,0.0,Pidgeot,Normal,Flying,Bird Pokémon,1.5,39.5,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Bird Pokémon,1.5,39.5,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Bird Pokémon,1.5,39.5,"Keen-eye, Tangled-feet, Big-pecks",1.0,No
18,pidgeot,15,395,83,80,75,70,70,101,"{normal,flying}",6,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",PidgeotMega Pidgeot,Normal,Flying,579.0,83.0,80.0,80.0,135.0,80.0,121.0,1.0,False,Normal,Flying,,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,3840.0,70.0,579.0,45,Bird Pokémon,80.0,1059860.0,1.5,83.0,Pigeotピジョット,Pidgeot,50.0,135.0,80.0,121.0,normal,flying,39.5,1.0,0.0,Pidgeot,Normal,Flying,Bird Pokémon,1.5,39.5,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Bird Pokémon,1.5,39.5,"Keen-eye, Tangled-feet, Big-pecks",1.0,No,Normal,Flying,Bird Pokémon,1.5,39.5,"Keen-eye, Tangled-feet, Big-pecks",1.0,No
19,rattata,3,35,30,56,35,25,35,72,{normal},7,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",Rattata,Normal,,253.0,30.0,56.0,35.0,25.0,35.0,72.0,1.0,False,Normal,,raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,3840.0,70.0,253.0,255,Mouse Pokémon,35.0,1000000.0,,30.0,Korattaコラッタ,Rattata,50.0,25.0,35.0,72.0,normal,dark,,1.0,0.0,Rattata,Normal,,Mouse Pokémon,0.3,3.5,"Run-away, Guts, Hustle",1.0,No,Normal,,Mouse Pokémon,0.3,3.5,"Run-away, Guts, Hustle",1.0,No,Normal,,Mouse Pokémon,0.3,3.5,"Run-away, Guts, Hustle",1.0,No
20,raticate,7,185,55,81,60,50,70,97,{normal},7,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,Raticate,Normal,,413.0,55.0,81.0,60.0,50.0,70.0,97.0,1.0,False,Normal,,,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,3840.0,70.0,413.0,127,Mouse Pokémon,70.0,1000000.0,,75.0,Rattaラッタ,Raticate,50.0,40.0,80.0,77.0,normal,dark,,1.0,0.0,Raticate,Normal,,Mouse Pokémon,0.7,18.5,"Run-away, Guts, Hustle",1.0,No,Normal,,Mouse Pokémon,0.7,18.5,"Run-away, Guts, Hustle",1.0,No,Normal,,Mouse Pokémon,0.7,18.5,"Run-away, Guts, Hustle",1.0,No
21,spearow,3,20,40,60,30,31,31,70,"{normal,flying}",8,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",Spearow,Normal,Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0,1.0,False,Normal,Flying,fearow,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,262.0,255,Tiny Bird Pokémon,30.0,1000000.0,0.3,40.0,Onisuzumeオニスズメ,Spearow,50.0,31.0,31.0,70.0,normal,flying,2.0,1.0,0.0,Spearow,Normal,Flying,Tiny Bird Pokémon,0.3,2.0,"Keen-eye, Sniper",1.0,No,Normal,Flying,Tiny Bird Pokémon,0.3,2.0,"Keen-eye, Sniper",1.0,No,Normal,Flying,Tiny Bird Pokémon,0.3,2.0,"Keen-eye, Sniper",1.0,No
22,fearow,12,380,65,90,65,61,61,100,"{normal,flying}",8,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",Fearow,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,1.0,False,Normal,Flying,,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,3840.0,70.0,442.0,90,Beak Pokémon,65.0,1000000.0,1.2,65.0,Onidrillオニドリル,Fearow,50.0,61.0,61.0,100.0,normal,flying,38.0,1.0,0.0,Fearow,Normal,Flying,Beak Pokémon,1.2,38.0,"Keen-eye, Sniper",1.0,No,Normal,Flying,Beak Pokémon,1.2,38.0,"Keen-eye, Sniper",1.0,No,Normal,Flying,Beak Pokémon,1.2,38.0,"Keen-eye, Sniper",1.0,No
